,questions,labbel
69,север! примите 3х человек с собаками!!!,other
70,ребят как пропускн таможн полно работа сегоднязавтр,best_border
71,ребята кто в бессарабке на пункте пропуска   как там дела   много людей если переходить на своих двоих,border_situation
72,Пропустят ли с животными в перевозке,animals
73,Как возможно выйти в молдову с собакой без чипа,animals
74,кто-то сейчас находится на границе могилёв - подольский как там обстановка,border_situation
75,а автобус откуда идёт в болгарию ? напрямую с одессы ?,other
76,подскаж можн ли проех таможн с животн без паспорт животн и с ребенк без нотариальн разреш для выезд спасиб,animals
77,как обстоят дела на кучурганах,border_situation
78,кто знает какая ситуация на таможне мамалыга - крива,border_situation
79,вам надо в кишинев ехать сначала. оттуда с центрального автовокзала по 10 раз в день маршрутка на бухарест идет,other
80,над дом на сем в кишинев,dwelling
81,все про паланку пишут а что-то слышно про пункт станиславка там есть волонтеры какие - тоесли буду ехать то через этот пункт так как ближе всего я с ребёнком   лет если есть хоть какая-то информация напишите пожалуйста,border_situation
82,в кишин хот снят апартамент ил квартир взросл и дет,dwelling
83,как обстановка на тудоре,border_situation
84,как сейчас в паланке машин много,border_situation
85,над снят апартамент в кишинев для землянин и кот,dwelling
86,подскаж где меньш пробк для аат есл еха из чернрвц румын ил молдов как проездной пунк,best_border
87,Пропустят ли с котами без документов,animals
88,Через какое кпп ехать,best_border
89,помог пожалуйст нуж отел в кишинев,dwelling
90,едем с одессы в молдавию подскажите какую границе быстрей маленький ребёнок с нами годик паланка много,best_border
91,могу принять семью с ребёнком бесплатно кишинёве !,other
92,не разжигайте!,other
93,где лучш таможн,best_border
94,На животных тож надо документы,animals
95,Можно ли в Молдову провезти кота без прививок,animals
96,подскажите пожалуйста какая ситуация с границами на севере молдовы на данный мгновение,border_situation
97,Скажите собаку без документов можно перевести в Молодву,animals
98,скажите на какой границе к молдове сейчас реально уехать на своей машине где не излишне огромная пробка,best_border
99,"нет, это очень далеко с киева и там забито",other
100,как границ возл паланк сам не загружен подскаж где сам реальн очеред не по час машин,best_border
101,как сейчас ситуац границ паланк и кпп старокозач,border_situation
102,есть достоверная данные какая сейчас обстановка на паланке большие очереди,border_situation
103,подскаж пожалуйст может кто - т квартир сдат на мног спал ил у кого - т свободн номер - кишенев- окрестн,dwelling
104,могил откр кпп таможн как там ситуац,border_situation
105,ест очеред на пункт мамалиг как ситуац,border_situation
106,здравствуйте скажите пожалуйста как обстоят дела с животными если с собой везти,animals
107,у ког можн снят жил в кишинев на нескольк дне,dwelling
108,как пропускной пункт быстр,best_border
109,какая обстановка на таможне е могилёв подольск как пропускают,border_situation
110,пожалуйст подскаж как кпп лучш еха,best_border
111,позвол ли на кпп пройт с нечипирова собак,animals
112,скажите может есть кто в брчанах отдаёт жилье женщине с детьми,dwelling
113,Кто может сдать квартиру минимум на месяц в кишиневе,dwelling
114,да где пропускают с животными нет паспортов и чипов как провести не бросать же детки везут,animals
115,переходно карточка пунк басарабяск как ситуац скольк ждат может кто - нибуд там сейчас спасиб,border_situation
116,Есть ли у кого-то вероятность приютить нас,dwelling
117,подскажите где меньше пробки для аато коль ехать из чернрвцов румыния или молдова какой пункт,best_border
118,скажитеа как в могилёв - подольском вельми большая очередь,border_situation
119,скаж где можн снят квартир в кишинев,dwelling
120,ребят как пропускн таможн будет работа сегоднязавтр,best_border
121,кто сдаст хостел в кишинев,dwelling
122,У кого питаться жильё недалеко кишинева,dwelling
123,Подскажите кто сможет где возможно снять квартиру,dwelling
124,какая обстановка на погран контроле - окница - сокиряны,border_situation
125,Ребят нужна помощь нужны квартиры в кишиневе для семьи,dwelling
126,кто может сдат ночлег в аренд,dwelling
127,ищ квартир сегодн в кишинев,dwelling
128,тоже интересует,other
129,напиш пожалуйст как ситуац в атак посл прохожден таможн в могилев сто ли перевозчик как посл кпп добра до кишинев две женщин и ребенок больш спасиб,border_situation
130,как сейчас ситуац пункт паланк и кпп старокозач,border_situation
131,есть вероятность выискать жильё в кишинёве для семьи   человек хотя бы на сутки - вторые,dwelling
132,пишите ему в личку или мне,other
133,ест очеред на таможн мамалиг как ситуац,border_situation
134,граница у кучурган открыта?,other
135,над снят хостел в кишинев для землянин и кот,dwelling
136,Может кто знает праздный отель для заселения,dwelling
137,"все с ними хорошо,вопрос о надобности въезжать,вот и спрашиваю",other
138,добросердечный день подскажите как сегодня в тудорах много машин,border_situation
139,может из-за этого нет связи,other
140,здравствуйтеможет кто знает как обстоят дела на таможне атаки - могилев - подольск,border_situation
141,как обстоя дел с не чепировпн животн на границект знаетпропустят,animals
142,Не хочется бросать своих котов как их перевести через границу,animals
143,Собаках без документов пускают,animals
144,ест очеред на проездной пунк мамалиг как ситуац,border_situation
145,скажите пожалуйста как сейчас обстановка в татарбунарах белгород - днестровском и вдоль трассы до рени,border_situation
146,Как выискать квартиру в кишиневе в аренду,dwelling
147,Кто может подсобить жильём,dwelling
148,сним гостиниц на сутк в могилев - подольск с животн,dwelling
149,над отел на сем в кишинев,dwelling
150,  ребёнка и   взрослых в тараклии или около есть кто-то кто хотел рядом поспособствовать жильём,dwelling
151,кто может предлож апартамент,dwelling
152,с собакой без паспорта через границу пропустят,animals
153,какая положение сейчас на старокозачьем,border_situation
154,как абонемент пунк лучш с сторон одес,best_border
155,Куда в Кишиневе обращатся чтобы получить ночлег,dwelling
156,Доброе утро где обращатся чтобы получить квартиру,dwelling
157,кто сдаст квартир в кишинев,dwelling
158,мы уже в двух местах попробовали,other
159,подскаж пожалуйст как обсто дел на пункт паланк на дан момент есл еха из одесс то лучш через паланк ил друг пункт болград рен ещ какой - т,best_border
160,"друзья, нужна помощь!!!
с одессы добраться в паланку или кишинев или к другой границе молдовы не важно!
нас 10 человек",other
161,подскажите пожалуйста большие ли очереди на паланкастарокозачье для пешего перехода для женщин с маленькими детьми,border_situation
162,добрый вечер есть весть какая очеред на рени спасибо,border_situation
163,Как привести свою собаку с собой,animals
164,На границе впустят с животными,animals
165,скажите на какой границе к молдове сейчас реально уехать на своей машине где не избыточно огромная пробка,best_border
166,как пункт быстр,best_border
167,Как коту перейти границу,animals
168,подскажите из винницы в молдову как попасть быстрее и безопаснее всего-навсего до границы и какие очереди где интересуют атаки и сокиряны,border_situation
169,Хотим попросить об квартире,dwelling
170,подскажите где меньше пробки для аато когда ехать из чернрвцов румыния или молдова какой пункт,best_border
171,ребят как пропускн границ полно работа сегоднязавтр,best_border
172,у ког можн снят гостиниц для сем на нескольк дне,dwelling
173,здравствуйте клан взрослых    детей подьезжаем к границе молдавии   если получится пересечь границу очень хотим попросить о ночлеге может кто-то может помочь,dwelling
174,подскажите пожалуйста какая обстановка на пропускном пункте в молдавию в могилев подольске,border_situation
175,Можете подсказать как перевусти животных сквозь границу,animals
176,ребята   как граница поланки и староказачье в значительной мере загружена,border_situation
177,ребятки какая ситуация в мамалыгакрива очереди,border_situation
178,как пропускной пункт лучш с сторон одес,best_border
179,позвол ли на пункт пройт с нечипирова собак,animals
180,ребята скажите пожалуйста какая положение на кпп в бричанах,border_situation
181,Как не оставить дома животных,animals
182,Подскажите где переночевать в Кишиневе,dwelling
183,"максимально безопасно, главное придерживаться правил кпп на дорогах...",other
184,ребята подскажите как обстановка на кп серпневе и по дороге туда извините плиз если дублирую не видела ответ,border_situation
185,благожелательный день как раскопать жильё в кишеневе,dwelling
186,на границе молдова - румыния подскажите подскажите где очередь не большая,border_situation
187,добрый вечер есть известие какая очеред на рени спасибо,border_situation
188,буде я еду с ребёнком   на какую границу ехать что б не стоять по   часов,best_border
189,"через мамалигэ без вопросов - вчера было пусто, мало машин. пропустили быстро. я доехала до таможни, потом шла пешком",other
190,  ребёнка и   взрослых в тараклии или около есть кто-то кто хотел неподалёку помочь жильём,dwelling
191,Можно ли выехать в Молдову с животными у которых нет документов,animals
192,++,other
193,ребят как пропускн пропускной пункт достаточно работа сегоднязавтр,best_border
194,Извините кто знает буде пропустят с животными без пасспорта,animals
195,все про паланк пишут а что - т слышн про пропускной пункт станиславк там ест волонтер какие - тоесл буд еха то через сей пункт так как ближ всег я с ребенк лет есл ест хот какая - т информац напиш пожалуйст,border_situation
196,ласковый день как обстановка на паланке и староказачьем едем с одессы подскажите пожалуйста,best_border
197,где лучш проездной пунк,best_border
198,Кишинев где возможно снять не дорого квартиру,dwelling
199,Псов без документов пускают,animals
200,эта группа для помощи.,other
201,в кишин хот снят жил ил отел взросл и дет,dwelling
202,Можете сказать пожалуйста какие условия чтобы пустили с животными,animals
203,где новости,other
204,Как коту перейти границу,animals
205,какая ситуации на границе в могилев подольский,border_situation
206,есть очередь на кпп мамалига какая ситуация,border_situation
207,реб как ест хорош вариант жил в кишинев,dwelling
208,сним гостиниц на сутк в могилев - подольск с животн,dwelling
209,На какой границе пропускают с котами,animals
210,Кто может пособить жильём,dwelling
211,Можете сообщить как перевести своих любимцех через границу,animals
212,Как найти дом в Кишиневе,dwelling
213,"пробуйте, с группой инвалидности возможно пустят",other
214,Были ли у кого проблемы провезти кота в перевозке,animals
215,подскажите пожалуйста где меньше очередь   какая таможня свободнее,best_border
216,ежели выезжать из одессы какие таможни молдовы более свободны или если через паланку сколько по времени уходит на очереди,best_border
217,здравствуйте кто знает какая обстановка на пропуске мирное есть ли очередь,border_situation
218,как ситуац сейчас на границ паланк,border_situation
219,доброе утро всем кто знает как положение на границе молдова укр мама стоит уже сутки телефон разрядился,border_situation
220,сердечный вечер есть информация какая очеред на рени спасибо,border_situation
221,Кто знает с животными пускают,animals
222,как с очередями,border_situation
223,где сам близк квартир,dwelling
224,кто на броннице как обстановка,border_situation
225,"помощь спасем украину  вместе  !

евгений    обращайтесь  +380 97 947 5597",other
226,подскажите какие очереди сквозь старокозачье,border_situation
227,где можн снят жил для цел сем,dwelling
228,сним гостиниц на сутк в могилев - подольск с животн,dwelling
229,Напишите сайт где возможно снять квартиру в аренду,dwelling
230,как получ отел,dwelling
231,есть информация сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
232,есть у кого-то где-то около тараклии жилье,dwelling
233,как найт дом,dwelling
234,подскажите какая ситуация с очередью сейчас на мамалыге,border_situation
235,есть сведение сейчас какая обстановка на границе в атачь   с той стороны большая очередь  ,border_situation
236,подскаж сквозь как проездн таможн лучш пересека границ с молдав есл еха с западн украин плиз я девочк и вообщ не разбира,best_border
237,Есть ли у кого-то вероятность приютить нас,dwelling
238,проездной билет пунк старокозач ест ли какая - т инф очеред,border_situation
239,где лучш пропускной пункт,best_border
240,Можете изложить как пройти с собакой без международного пасспорта,animals
241,как обстановка в татарбунарах белгород - днестровский,border_situation
242,скаж пожалуйст на как пропускн таможн молдов лучш еха где меньш очеред беремен женщин с трехлетн ребенк,best_border
243,в какой части лучше пересекать границу с румынией из молдовы раз переезжать границу лбди будут в пцнуте пропуска могилёв - подольский - отачь,best_border
244,у ког можн снят дом для сем на нескольк дне,dwelling
245,подскажите чат с помощью в польше и где есть информация о польской границей 🙏🏻❤️,other
246,на какую границу румынии лучше ехать из черновцов,best_border
247,добрый вечерпожалуйста подскажитена каком пропускном пункте в молдове быстрее лишь сегодня проходилась граница,best_border
248,есть семья   детей и   взрослых которой весьма нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
249,народ как обстановка на границе кучурган отпишитесь пожалуйста,border_situation
250,скажите на какой границе к молдове сейчас реально уехать на своей машине где не шибко огромная пробка,best_border
251,кто сдаст апартамент в кишинев,dwelling
252,На какой границе пропускают с животными без чипов,animals
253,какая обстановка на границе старокозачем,border_situation
254,ребята какие границы ближайшие открыты если ехать с одессы,best_border
255,ребята кто в бессарабке на пункте пропуска   как там дела   много людей раз переходить пешком,border_situation
256,подскаж таможн пропуск сокиря на машин можн пересеч и как очеред,border_situation
257,кто знает какая ситуация в паланке в плане очереди и времени прохождения границы на авто   пешком,border_situation
258,в кишин хот снят апартамент ил апартамент взросл и дет,dwelling
259,сним квартир на сутк в могилев - подольск с животн,dwelling
260,Подскажите как получить жильё в молдове,dwelling
261,Может кто знает вакантный отель для заселения,dwelling
262,есть семья   детей и   взрослых которой в высшей степени нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
263,могил откр таможн таможн как там ситуац,border_situation
264,На каких сайтах можно снять квартиру в аренду в Кишиневе,dwelling
265,большая очередь на границе украина - молдова   сквозь какую границу ехать,best_border
266,как найт ночлег,dwelling
267,здравств нужн апартамент ил номер в хостел в кишин для взросл ребенок мес и маленьк собачк,dwelling
268,здравствуйте как сейчас на староказачье - тодора большие автомобильные очереди,border_situation
269,скаж где можн найт квартир в кишинев,dwelling
270,Где лучше перейти границу,best_border
271,Как найти в Кишиневе апартаменты на несколько дней,dwelling
272,как найт гостиниц в кишинев на нескольк дне,dwelling
273,над квартир на сем в кишинев,dwelling
274,как пропускн таможн имеет меньш люд,best_border
275,скажите на какой границе к молдове сейчас реально уехать на своей машине где не зело огромная пробка,best_border
276,сним ночлег на сутк в могилев - подольск с животн,dwelling
277,где можн узна как обстановк пропускн границ рен джурджулешт можн проеха,border_situation
278,через молдавию в румынию пустят и какие документы нужны два кота собака,animals
279,Кто отдаёт жильё,dwelling
280,скажитеа как в могилёв - подольском необычайно большая очередь,border_situation
281,Требуют ли документы для домашнего питомца,animals
282,как обстановка на тудоре,border_situation
283,есть семья   детей и   взрослых которой сверх меры нужна помощь   они доехали до тараклии машина сломалась не могу оттуда уехать дальше   возможно есть кто-то кто сможет помочь им там с жильем или подвести их до ближайших доступных пунктов помощи,dwelling
284,через паланку животных без вакцин пропускают,animals
285,доброжелательный день как выискать жильё в кишеневе,dwelling
286,Доброе утро где обращатся чтобы получить ночлег,dwelling
287,Как забрать с собой кота без пасспорта,animals
288,подскаж где меньш пробк для аат есл еха из чернрвц румын ил молдов как пропускной пункт,best_border
289,подскаж как обсто дел на границ мирноетабак очеред ест,border_situation
290,добрый день подскажите пожалуйстакакая положение на паланке с машинами сейчас,border_situation
291,скажите кошку без документов можно провести в молдавию,animals
292,напиш пожалуйст как ситуац в атак посл прохожден абонемент пунк в могилев сто ли перевозчик как посл кпп добра до кишинев две женщин и ребенок больш спасиб,border_situation
293,Нужна сведение какая лучше граница для пересечений,best_border
294,ребята какой пропускной пункт будет фунциклировать сегоднязавтра,best_border
295,"да пустят вас, мы ж не демоны",other
296,Как выискать дом в Кишиневе,dwelling
297,оки нужен трансорт какая там положение,border_situation
298,подскажите пожалуйста на какой границе в молдавию сейчас меньше только очередь   пожалуйста нужно вывезти детей,best_border
299,Кто принимает беженцев в Кишиневе,dwelling
300,ребята кучурганы как обстановка очереди большие,border_situation
301,в кишин хот снят апартамент ил отел взросл и дет,dwelling
302,добрый вечер подскажите какая ситуация на границе в бричанах коль пройти пешком с   детьми большая очередь - сколько времени,border_situation
303,подскажите граница мамалыга какие там очереди,border_situation
304,у ког можн снят жил для сем на нескольк дне,dwelling
305,ребята   как граница поланки и староказачье сильно загружена,border_situation
306,есть достоверная сведение какая сейчас обстановка на паланке большие очереди,border_situation
307,через как проездной пунк лучш еха есл выезжа с одесс на такс объясн пожалуйст,best_border
308,скаж где можн найт дом в кишинев,dwelling
309,добр утр где обращат чтоб получ гостиниц,dwelling
310,на как кпп сейчас лучш всег еха женщин на машин,best_border
311,как получ отел,dwelling
312,ребят как пропускн проездной пунк полноте работа сегоднязавтр,best_border
313,  ребёнка и   взрослых в тараклии или около есть кто-то кто хотел близко помочь жильём,dwelling
314,Где можно поселится,dwelling
315,"кто едет из одессы в молдову в румынию ,надо забрать маму с ребёнком и бабушку !🙏💙💙💙💙💙🇺🇦пожалуйста",other
316,где можн снят дом для цел сем,dwelling
317,в кишин хот снят квартир ил отел взросл и дет,dwelling
318,Можете рассказать как перевести своих любимцех через границу,animals
319,напишите мне в личку,other
320,а ещ подскаж пожалуйст кто проезжа через как населен границ лучш пересека границ,best_border
321,Для семьи нужна квартира кто может помочь,dwelling
322,Куда размещают беженцев в кишиневе,dwelling
323,подскажите пожалуйста где быстрее можно пересечь границу паланке или староказачье куда лучше ехать как закончится комендантский час,best_border
324,"да, пропускают с укр паспортом",other
325,добавьте пожалуйста в группу в киева,other
326,да где пропускают с животными нет паспортов и чипов как провести не бросать же детки везут,animals
327,ребят скаж пожалуйст как ситуац на проездной пунк в бричан,border_situation
328,добр утр кто подскажет по предлог сдач хостел в кишенев куд лучш обраща где иска родител вчер бежа в кишен пок что в помещен для времен размещен беженц,dwelling
329,пожалуйст подскаж как границ лучш еха,best_border
330,У кого есть жильё недалеко кишинева,dwelling
331,Может кто-то сможет помочь с жильём,dwelling
332,кто сдаст отел в кишинев,dwelling
333,пожалуйст подскаж как проездной пунк лучш еха,best_border
334,Может кто-то сможет поспособить с жильём,dwelling
335,Как на паланке положение с животными Можно ли перейти с собакой у которой нет документов,animals
336,Как взять с собой животных без документов,animals
337,скажите где лучше пересекать границу маленькие дети на какой пост ехать одессачерноморск,best_border
338,"ребята, всем привет! очень нужно жилье или комната для двух женщин из одессы, одна беременная! пожалуйста, они нуждаются в помощи! 🙏🙏🙏",other
339,принимают всех,other
340,Можете рассказать как перевели своих любимцех через границу,animals
341,У кого есть что-то вблизи кишинева чтобы жить,dwelling
342,где можн найт жил,dwelling
343,на таможн пропуска животн без документ,animals
344,"скажите, пожалуйста, кому известно: украина закрыла границы? кого пропускают?",other
345,в какой части лучше пересекать границу с румынией из молдовы когда переезжать границу лбди будут в пцнуте пропуска могилёв - подольский - отачь,best_border
346,"кишинев,ботаника  
предоставим жилье семье с детками - пишите!",other
347,"здравствуйте,нужна квартира в кишиневе,хорошие условия 
2 комнатная 
у нас детки",other
348,где можн снят апартамент для цел сем,dwelling
349,Как не оставить дома животных,animals
350,У кого питаться жильё поблизости кишинева,dwelling
351,ищ апартамент сегодн в кишинев,dwelling
352,Что нужно чтобы перевести кота через границу,animals
353,кто едет сейчас с одессы на старокозачий - как обстановка долго стоять сейчас есть пробка,border_situation
354,кто сдаст квартир в аренд,dwelling
355,Где найти жильё в Кишиневе,dwelling
356,ест очеред на границ мамалиг как ситуац,border_situation
